id,name,num_parts,hex
1098,Glitter Trans-Green,1,#84B68D
1099,Glitter Trans-Pink,2,#E4ADC8
1100,Clikits Yellow,22,#FFCF0B
1101,Duplo Dark Purple,1,#5F27AA
1102,Trans-Neon Red,22,#FF0040
1103,Pearl Titanium,7896,#3E3C39
1104,HO Aqua,1,#B3D7D1
1105,HO Azure,1,#1591cb
1106,HO Blue-gray,3,#354e5a
1107,HO Cyan,1,#5b98b3
1108,HO Dark Aqua,1,#a7dccf
1109,HO Dark Blue,9,#0A3463
1110,HO Dark Gray,11,#6D6E5C
1111,HO Dark Green,4,#184632
1112,HO Dark Lime,1,#b2b955
1113,HO Dark Red,10,#631314
1114,HO Dark Sand Green,1,#627a62
1115,HO Dark Turquoise,1,#10929d
1116,HO Earth Orange,2,#bb771b
1117,HO Gold,1,#b4a774
1118,HO Light Aqua,1,#a3d1c0
1119,HO Light Brown,1,#965336
1120,HO Light Gold,2,#cdc298
1121,HO Light Tan,4,#f9f1c7
1122,HO Light Yellow,1,#f5fab7
1123,HO Medium Blue,2,#7396c8
1124,HO Medium Red,4,#c01111
1125,HO Metallic Blue,3,#0d4763
1126,HO Metallic Dark Gray,2,#5e5e5e
1127,HO Metallic Green,1,#879867
1128,HO Metallic Sand Blue,1,#5f7d8c
1129,HO Olive Green,14,#9B9A5A
1130,HO Rose,1,#d06262
1131,HO Sand Blue,2,#6e8aa6
1132,HO Sand Green,4,#A0BCAC
1133,HO Tan,3,#E4CD9E
1134,HO Titanium,1,#616161
1135,Metal,51,#A5ADB4
1136,Reddish Orange,3857,#CA4C0B
1137,Sienna Brown,66,#915C3C
1138,Umber Brown,19,#5E3F33
1139,Opal Trans-Yellow,27,#F5CD2F
1140,Neon Orange,14,#EC4612
1141,Neon Green,25,#D2FC43
1142,Dark Olive Green,11,#5d5c36
1143,Glitter Milky White,4,#FFFFFF
1144,Chrome Red,4,#CE3021
1145,Ochre Yellow,14,#DD9E47
1146,Warm Pink,422,#F6B7BF
1147,Blue Violet,876,#A3A9FF
9999,[No Color/Any Color],10682,#05131D
